time,.name,.pose,.twist
1970/01/01/09:00:08.260000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00160025176746
  y: -0.00683933528202
  z: 0.381505552336
orientation: 
  x: -3.16799316589e-05
  y: 0.00034582686268
  z: 0.0375137430627
  w: 0.999296051469]",[]
1970/01/01/09:00:08.270000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00122562928023
  y: -0.00718830159223
  z: 0.381498735897
orientation: 
  x: -2.51746255134e-05
  y: 0.000301996228596
  z: 0.0377972386253
  w: 0.99928538312]",[]
1970/01/01/09:00:08.280000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00122562928023
  y: -0.00718830159223
  z: 0.381498735897
orientation: 
  x: -2.51746255134e-05
  y: 0.000301996228596
  z: 0.0377972386253
  w: 0.99928538312]",[]
1970/01/01/09:00:08.280000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.000764867609324
  y: -0.00760205337895
  z: 0.381491422493
orientation: 
  x: -1.87853304269e-05
  y: 0.000253634487643
  z: 0.0380986786944
  w: 0.999273949424]",[]
1970/01/01/09:00:08.300000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.000764867609324
  y: -0.00760205337895
  z: 0.381491422493
orientation: 
  x: -1.87853304269e-05
  y: 0.000253634487643
  z: 0.0380986786944
  w: 0.999273949424]",[]
1970/01/01/09:00:08.300000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.000764867609324
  y: -0.00760205337895
  z: 0.381491422493
orientation: 
  x: -1.87853304269e-05
  y: 0.000253634487643
  z: 0.0380986786944
  w: 0.999273949424]",[]
1970/01/01/09:00:08.320000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.000229143875944
  y: -0.00806252297737
  z: 0.381483904721
orientation: 
  x: -1.2584924601e-05
  y: 0.000203766027778
  z: 0.0384290960989
  w: 0.999261308615]",[]
1970/01/01/09:00:08.330000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.000229143875944
  y: -0.00806252297737
  z: 0.381483904721
orientation: 
  x: -1.2584924601e-05
  y: 0.000203766027778
  z: 0.0384290960989
  w: 0.999261308615]",[]
1970/01/01/09:00:08.330000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.000229143875944
  y: -0.00806252297737
  z: 0.381483904721
orientation: 
  x: -1.2584924601e-05
  y: 0.000203766027778
  z: 0.0384290960989
  w: 0.999261308615]",[]
1970/01/01/09:00:08.350000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00044484380311
  y: -0.00860846257177
  z: 0.381475604298
orientation: 
  x: -5.95422988498e-06
  y: 0.000149658981218
  z: 0.0389043714427
  w: 0.999242927145]",[]
